redispatch_name,matched_name,score,source,reasoning,needs_review
50H BASF Schwarzheide,Schwarzheide,100.0,fuzzy,,
50H Bad Salzungen HKW,Bad Salzungen,100.0,fuzzy,,
50H Berlin Lichterfelde,Lichterfelde,100.0,fuzzy,,
50H Berlin Marzahn,Marzahn,100.0,fuzzy,,
50H Berlin Mitte,Mitte,100.0,fuzzy,,
50H Berlin Reuter West,Reuter West,100.0,fuzzy,,
50H Bernburg,Bernburg,100.0,fuzzy,,
50H Chemnitz,Chemnitz,100.0,fuzzy,,
50H Dresden-Nossen,Dresden,100.0,fuzzy,,
50H Dresden-Reick,Dresden,100.0,fuzzy,,
50H EnviaTherm Bitterfeld GuD,Gud,100.0,fuzzy,,
50H Erfurt-Ost HKW GuD,Gud,100.0,fuzzy,,
50H Halle-Dieselstr HKW-BlockA,Halle,100.0,fuzzy,,
50H Halle-Dieselstr HKW-BlockB,Halle,100.0,fuzzy,,
50H Halle-Dieselstr HKW-BlockC,Halle,100.0,fuzzy,,
50H Halle-Trotha HKW,Halle Trotha,100.0,fuzzy,,
50H Hamburg MMB BHKW PtH,Bhkw,100.0,fuzzy,,
50H Hamburg Tiefstack 2 HKW SK,Tiefstack,100.0,fuzzy,,
50H Hamburg Tiefstack GuD,Tiefstack,100.0,fuzzy,,
50H Hamburg Wedel1,Hamburg,100.0,fuzzy,,
50H InfraLeuna IKW,Ikw,100.0,fuzzy,,
50H Leipzig Nord GuD,Gud,100.0,fuzzy,,
50H Leipzig Süd GuD,Gud,100.0,fuzzy,,
50H Neubrandenburg GuD,Gud,100.0,fuzzy,,
50H OWP Arcadis Ost 1,Arcadis Ost,100.0,fuzzy,,
50H OWP Arkona,Pv Pharcona,64.0,fuzzy,,YES
50H OWP Baltic 1+2,Baltic,100.0,fuzzy,,
50H OWP Baltic Eagle,Baltic,100.0,fuzzy,,
50H OWP Wikinger,Wikinger,100.0,fuzzy,,
50H PV Bartow,Pv,100.0,fuzzy,,
50H PV Witznitz,Pv,100.0,fuzzy,,
50H Parchim,Parchim,100.0,fuzzy,,
50H Rostock Marienehe,Rostock Marienehe,100.0,fuzzy,,
50H Stralsund BHKW+PtH,Stralsund,100.0,fuzzy,,
50H UW Altentreptow,Altentreptow,100.0,fuzzy,,
50H UW Bertikow,Bertikow,100.0,fuzzy,,
50H UW Iven,Iven,100.0,fuzzy,,
50H UW Putlitz,Putlitz,100.0,fuzzy,,
50H UW Schönewalde,Uw,100.0,fuzzy,,
50H UW Wessin,Uw,100.0,fuzzy,,
50H UW Wustermark,Uw,100.0,fuzzy,,
50H_AVA_CR_FOE,Haag Ro,57.1,fuzzy,,YES
50H_AVA_CR_STW,Haaren Ost,58.3,fuzzy,,YES
50H_AVA_CR_WK,Wk,100.0,fuzzy,,
50H_AVA_CR_WOL,Bat Wol,60.0,fuzzy,,YES
50H_EDIS_CR_ATS,Ats,100.0,fuzzy,,
50H_EDIS_CR_BW,Bw,100.0,fuzzy,,
50H_EDIS_CR_EH,Eh,100.0,fuzzy,,
50H_EDIS_CR_GSE,Carl Zeiss,56.0,fuzzy,,YES
50H_EDIS_CR_GUE_Nord,Nord,100.0,fuzzy,,
50H_EDIS_CR_GUE_Sued,Sp Preisinger Loh,54.1,fuzzy,,YES
50H_EDIS_CR_HND,Wp Hnd,66.7,fuzzy,,YES
50H_EDIS_CR_LHG,Greifswald 5,51.9,fuzzy,,YES
50H_EDIS_CR_NHG_Nord,Nord,100.0,fuzzy,,
50H_EDIS_CR_PAS,Pva Heuchrist,57.1,fuzzy,,YES
50H_EDIS_CR_PE,Pv Pe,57.1,fuzzy,,YES
50H_EDIS_CR_PZS,Pzs,100.0,fuzzy,,
50H_EDIS_CR_SOW_Nord,Nord,100.0,fuzzy,,
50H_EDIS_CR_SOW_Sued,Swm Sued Gud,56.2,fuzzy,,YES
50H_EDIS_CR_VIE_Sued,Pv Preisser Gmbh,55.6,fuzzy,,YES
50H_EDIS_CR_WU,Wu,100.0,fuzzy,,
50H_MNS_CR_ADB,Pv Adb,66.7,fuzzy,,YES
50H_MNS_CR_CRO,Bhkw Ms Coerde Modul,52.9,fuzzy,,YES
50H_MNS_CR_FRN,Fh Munster Bhkw Cst,54.5,fuzzy,,YES
50H_MNS_CR_GRS,Grs Kwp,60.0,fuzzy,,YES
50H_MNS_CR_HER,Her,100.0,fuzzy,,
50H_MNS_CR_JSN,Bhkw Gs Co Nr,51.9,fuzzy,,YES
50H_MNS_CR_KLM,Pva Klm,60.0,fuzzy,,YES
50H_MNS_CR_LAU_Nord,Nord,100.0,fuzzy,,
50H_MNS_CR_LAU_Sued,Lau Nea,60.0,fuzzy,,YES
50H_MNS_CR_MA_Nord,Nord,100.0,fuzzy,,
50H_MNS_CR_MA_Sued,Ma,100.0,fuzzy,,
50H_MNS_CR_PRL,Munst Pv Gbr,53.8,fuzzy,,YES
50H_MNS_CR_PRL_TU,Tu,100.0,fuzzy,,
50H_MNS_CR_PUL,Bhkw Loc Mul,53.8,fuzzy,,YES
50H_MNS_CR_RAG,Bhkw Common Rail,53.3,fuzzy,,YES
50H_MNS_CR_ROE,Bhkw Christel Rogge,54.5,fuzzy,,YES
50H_MNS_CR_ZW,Abr Zw,50.0,fuzzy,,YES
50H_TEN_CR_M1_EI,Sp Ei,57.1,fuzzy,,YES
50H_TEN_CR_M2_VIB,Carmen Pv,53.8,fuzzy,,YES
50H_TEN_CR_S1_ATF,Haltern Sythen,58.1,fuzzy,,YES
50H_TEN_CR_S2_WD,Wd,100.0,fuzzy,,
50H_WEMA_CR_GOE,Wema,100.0,fuzzy,,
50H_WEMA_CR_GUE,Wema,100.0,fuzzy,,
50H_WEMA_CR_PE,Wema,100.0,fuzzy,,
50H_WEMA_CR_PMS,Wema,100.0,fuzzy,,
AMP_LEW_VERTEILNETZ_NORD_CR_PHOTOVOLTAIK,Nord,100.0,fuzzy,,
AMP_LEW_VERTEILNETZ_NORD_CR_SONSTIGE_EE,Nord,100.0,fuzzy,,
AMP_LEW_VERTEILNETZ_NORD_CR_WIND,Nord,100.0,fuzzy,,
AMP_LEW_VERTEILNETZ_SUED_CR_KONVENTIONELL,Schuco International Kg Wertingen,51.4,fuzzy,,YES
AMP_LEW_VERTEILNETZ_SUED_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE,Rt Ee,57.1,fuzzy,,YES
AMP_SYNA_PFUNG_CR_WIND,Wind,100.0,fuzzy,,
AMP_VSE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_VSE_CR_SONSTIGE_EE,Rt Ee,57.1,fuzzy,,YES
AMP_VSE_CR_WIND,Wind,100.0,fuzzy,,
AMP_WESTNETZ_BORNHEIM_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_DORTMUND_CR_WIND,Dortmund,100.0,fuzzy,,
AMP_WESTNETZ_EIFEL_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_EMSLAND_CR_SONSTIGE_EE,Emsland,100.0,fuzzy,,
AMP_WESTNETZ_EMSLAND_CR_WIND,Emsland,100.0,fuzzy,,
AMP_WESTNETZ_HUERTH_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_KREFELDNEUSS_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_MUELHEIM_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_MUENSTERLAND_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NAHE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_NAHE_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIEDERRHEIN_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_KONVENTIONELL,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_SONSTIGE_EE,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_NIKE_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_PLAIDT_CR_WIND,Plaidt,100.0,fuzzy,,
AMP_WESTNETZ_SAUERLAND_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_SIEGEN_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_SIERSDORF_CR_WIND,Westnetz,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_PHOTOVOLTAIK,Photovoltaik,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_SONSTIGE_EE,Trier,100.0,fuzzy,,
AMP_WESTNETZ_TRIER_CR_WIND,Trier,100.0,fuzzy,,
AVA Cluster Alfstedt,Wp Alfstedt,84.2,fuzzy,,
AVA Cluster Dollern,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Elsen,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Emden Borssum,Mgt Cluster,77.8,fuzzy,,
AVA Cluster Emden Ost,Ost,100.0,fuzzy,,
AVA Cluster Gießen Nord T413 T414,Nord,100.0,fuzzy,,
