redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Reservekraftwerk Altbach/Deizisau Block 1,265,Altbach Deizisau,Hard Coal,756.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H Hamburg Wedel1,73652,Hamburg,Natural Gas,12.39,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H Rostock Marienehe,3276,Rostock Marienehe,Natural Gas,108.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Netzreservekraftwerk Bexbach A,322,Bexbach,Hard Coal,726.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
SHN Cluster Süderdonn T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T412 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Klixbüll,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T411 T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Husum Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Netzreservekraftwerk Weiher C,264,Weiher,Hard Coal,655.6,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
OWP UW Büttel,138696,Uw,Wind,2.35,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H Halle-Trotha HKW,2776,Halle Trotha,Natural Gas,66.991,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Lippendorf VE,313,Lippendorf,Lignite,1782.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Boxberg (Standort),323,Boxberg,Lignite,2470.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H OWP Wikinger,143020,Wikinger,Wind,5.23,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H UW Bertikow,33697,Bertikow,Wind,5.6,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
50H PV Witznitz,3440,Pv,Solar,9.11,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Lippendorf EnBW,313,Lippendorf,Lignite,1782.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Jänschwalde (Standort),315,Janschwalde,Lignite,3000.0,high,fuzzy,"Top fuzzy score 91, unique match after pre-filtering.",
Schkopau,270,Schkopau,Lignite,900.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Knapsack 1,722,Knapsack,Natural Gas,1326.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Irsching 5,721,Irsching,Natural Gas,1722.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Emsland Block B,1157,Emsland,Natural Gas,1877.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Emsland Block D,1157,Emsland,Natural Gas,1877.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Reservekraftwerk Walheim Block 2,596,Walheim,Hard Coal,244.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Heizkraftwerk Heilbronn Block 7,318,Heilbronn,Hard Coal,1028.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
WALSUM_10,320,Walsum,Hard Coal,1095.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
Emsland Block C,1157,Emsland,Natural Gas,1877.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
NIEHL-31-GUD,3240,Gud,Natural Gas,103.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
WEISWEILER_G,3250,Weisweiler,Waste,27.0,high,fuzzy,"Top fuzzy score 100, unique match after pre-filtering.",
EE Bayern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
