redispatch_name,plant_id,matched_name,fueltype,capacity_mw,confidence,source,reasoning,needs_review
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Süderdonn T412 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Klixbüll,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T411 T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Husum Nord,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Heide West T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
EE Bayern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
EE Niedersachsen,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Alfstedt,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Handewitt T412 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Handewitt T411,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Kiel Süd,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Handewitt T414 T415,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Sottrum T411 T413,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Börse,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Elsen,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
EE Hessen,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Twistetal,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Süd-Ost EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Lehrte,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Krümmel,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Ohlensehlen,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NIKE_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Wechold,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
Baden-Württemberg Mitte EE,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Stadorf,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_PLAIDT_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NAHE_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_NAHE_CR_PHOTOVOLTAIK,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 15 Pleinting,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 17 Altheim,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 16 Regensburg-Sittling,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Sottrum T412,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AMP_WESTNETZ_SAUERLAND_CR_WIND,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Schuby West,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Audorf Süd,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Kummerfeld,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Helmstedt,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
AVA Cluster Dollern,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
SHN Cluster Wilster West,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
BAG NWAK-Cluster 03 Bergrheinfeld-Schweinfurt,,,,,,aggregated,Aggregated node or virtual entry — not a single plant.,
