BEGINN_DATUM,BEGINN_UHRZEIT,ZEITZONE_VON,ENDE_DATUM,ENDE_UHRZEIT,ZEITZONE_BIS,GRUND_DER_MASSNAHME,RICHTUNG,MITTLERE_LEISTUNG_MW,MAXIMALE_LEISTUNG_MW,GESAMTE_ARBEIT_MWH,ANWEISENDER_UENB,ANFORDERNDER_UENB,BETROFFENE_ANLAGE,PRIMAERENERGIEART
04.03.2025,00:00,CET,05.03.2025,00:00,CET,Strombedingter Countertrade DE-DK1,Wirkleistungseinspeisung erhöhen,686,1100,13720,TenneT DE,TenneT DE,Börse,Sonstiges
04.03.2025,02:00,CET,04.03.2025,18:00,CET,Strombedingter Countertrade DE-DK2,Wirkleistungseinspeisung erhöhen,17,43,134,50Hertz,50Hertz,Börse,Sonstiges
04.03.2025,03:15,CET,04.03.2025,22:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"255,93",425,3583,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Wilhelmshaven (ENGIE),Konventionell
04.03.2025,03:15,CET,04.03.2025,17:00,CET,Strom- und Spannungsbedingter RD,Wirkleistungseinspeisung erhöhen,"84,1",332,"441,5",TransnetBW,50Hertz & Amprion & TenneT DE & TransnetBW,Börse,Sonstiges
04.03.2025,03:30,CET,04.03.2025,17:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"245,45",260,3375,TransnetBW,50Hertz & Amprion & TenneT DE & TransnetBW,Reservekraftwerk Altbach/Deizisau Block 1,Konventionell
04.03.2025,04:00,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,218,225,4361,Amprion,50Hertz & Amprion & TenneT DE & TransnetBW,KMW_KW3,Konventionell
04.03.2025,04:15,CET,04.03.2025,11:15,CET,Strom- und Spannungsbedingter RD,Wirkleistungseinspeisung reduzieren,132,400,363,TransnetBW,50Hertz & Amprion & TenneT DE & TransnetBW,Börse,Sonstiges
04.03.2025,04:30,CET,04.03.2025,11:15,CET,Strombedingter Redispatch,Wirkleistungseinspeisung erhöhen,"170,15",280,"1148,5",TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Gebersdorf 2,Konventionell
04.03.2025,04:45,CET,05.03.2025,00:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,"277,38",685,3814,TenneT DE,50Hertz & Amprion & TenneT DE & TransnetBW,Wilhelmshaven (ENGIE),Konventionell
04.03.2025,05:00,CET,04.03.2025,21:00,CET,Strombedingter Redispatch,Wirkleistungseinspeisung reduzieren,8,11,83,50Hertz,50Hertz & Amprion & TenneT DE & TransnetBW,50H Halle-Dieselstr HKW-BlockA,Konventionell
